node,operation,nlistener,out_local_msgs,in_local_msgs,out_remote_msgs,in_remote_msgs,inf_constraints,gen_instructions,setup_time,get_msg_time,sending_time,bhv_inf_time,constraint_inf_time,msg_inf_time,planning_time,latency,solving_time,total_time
database,deploy,15,0,0,0,0,1,1,0.0001766681671142578,2.09808349609375e-05,4.76837158203125e-07,0,0,0,0.47537684440612793,0.0,0.47537684440612793,0.47557497024536133
database,deploy,15,0,0,0,0,1,1,0.00025725364685058594,3.552436828613281e-05,2.384185791015625e-07,0,0,0,0.285825252532959,0.0,0.285825252532959,0.2861182689666748
database,deploy,15,0,0,0,0,1,1,0.00031948089599609375,2.8133392333984375e-05,4.76837158203125e-07,0,0,0,0.2920234203338623,0.0,0.2920234203338623,0.2923715114593506
database,deploy,15,0,0,0,0,1,1,0.00015854835510253906,1.621246337890625e-05,2.384185791015625e-07,0,0,0,0.27817201614379883,0.0,0.27817201614379883,0.2783470153808594
database,deploy,15,0,0,0,0,1,1,0.000164031982421875,1.7642974853515625e-05,4.76837158203125e-07,0,0,0,0.2715492248535156,0.0,0.2715492248535156,0.2717313766479492
database,deploy,15,0,0,0,0,1,1,0.0003101825714111328,1.7642974853515625e-05,4.76837158203125e-07,0,0,0,0.2659580707550049,0.0,0.2659580707550049,0.26628637313842773
database,deploy,15,0,0,0,0,1,1,0.00026988983154296875,2.7418136596679688e-05,4.76837158203125e-07,0,0,0,0.2597835063934326,0.0,0.2597835063934326,0.26008129119873047
database,deploy,15,0,0,0,0,1,1,0.0003681182861328125,2.3603439331054688e-05,4.76837158203125e-07,0,0,0,0.2646450996398926,0.0,0.2646450996398926,0.26503729820251465
database,deploy,15,0,0,0,0,1,1,0.000232696533203125,2.002716064453125e-05,4.76837158203125e-07,0,0,0,0.26996707916259766,0.0,0.26996707916259766,0.2702202796936035
database,deploy,15,0,0,0,0,1,1,0.0003552436828613281,2.3126602172851562e-05,7.152557373046875e-07,0,0,0,0.2705388069152832,0.0,0.2705388069152832,0.2709178924560547
system,deploy,15,0,0,0,0,1,1,0.000186920166015625,2.0503997802734375e-05,4.76837158203125e-07,0,0,0,0.4483070373535156,0.0,0.4483070373535156,0.4485149383544922
system,deploy,15,0,0,0,0,1,1,0.0003082752227783203,1.9073486328125e-05,4.76837158203125e-07,0,0,0,0.2672760486602783,0.0,0.2672760486602783,0.26760387420654297
system,deploy,15,0,0,0,0,1,1,0.0001723766326904297,2.1219253540039062e-05,4.76837158203125e-07,0,0,0,0.26636600494384766,0.0,0.26636600494384766,0.26656007766723633
system,deploy,15,0,0,0,0,1,1,0.0001590251922607422,2.09808349609375e-05,7.152557373046875e-07,0,0,0,0.2727947235107422,0.0,0.2727947235107422,0.27297544479370117
system,deploy,15,0,0,0,0,1,1,0.0002498626708984375,1.9073486328125e-05,4.76837158203125e-07,0,0,0,0.250732421875,0.0,0.250732421875,0.25100183486938477
system,deploy,15,0,0,0,0,1,1,0.00014400482177734375,2.1457672119140625e-05,7.152557373046875e-07,0,0,0,0.2506134510040283,0.0,0.2506134510040283,0.2507796287536621
system,deploy,15,0,0,0,0,1,1,0.0002377033233642578,1.811981201171875e-05,7.152557373046875e-07,0,0,0,0.24787044525146484,0.0,0.24787044525146484,0.24812698364257812
system,deploy,15,0,0,0,0,1,1,0.0002636909484863281,1.9311904907226562e-05,4.76837158203125e-07,0,0,0,0.24882245063781738,0.0,0.24882245063781738,0.24910593032836914
system,deploy,15,0,0,0,0,1,1,0.00026345252990722656,1.8835067749023438e-05,4.76837158203125e-07,0,0,0,0.2492992877960205,0.0,0.2492992877960205,0.24958205223083496
system,deploy,15,0,0,0,0,1,1,0.00019407272338867188,1.8358230590820312e-05,4.76837158203125e-07,0,0,0,0.24880051612854004,0.0,0.24880051612854004,0.24901342391967773
sensor_0,deploy,15,0,0,0,0,2,2,0.0004048347473144531,0.0001842975616455078,1.1920928955078125e-06,0,0,0,0.6792926788330078,0.0,0.6792926788330078,0.6798830032348633
sensor_0,deploy,15,0,0,0,0,2,2,0.0004177093505859375,0.0001647472381591797,7.152557373046875e-07,0,0,0,0.45867395401000977,0.0,0.45867395401000977,0.4592571258544922
sensor_0,deploy,15,0,0,0,0,2,2,0.0004458427429199219,0.00018310546875,9.5367431640625e-07,0,0,0,0.481914758682251,0.0,0.481914758682251,0.4825446605682373
sensor_0,deploy,15,0,0,0,0,2,2,0.0003209114074707031,0.00015664100646972656,7.152557373046875e-07,0,0,0,0.4481809139251709,0.0,0.4481809139251709,0.44865918159484863
sensor_0,deploy,15,0,0,0,0,2,2,0.0004172325134277344,0.00016689300537109375,4.76837158203125e-07,0,0,0,0.45250391960144043,0.0,0.45250391960144043,0.45308852195739746
sensor_0,deploy,15,0,0,0,0,2,2,0.00032711029052734375,0.0001518726348876953,1.430511474609375e-06,0,0,0,0.449352502822876,0.0,0.449352502822876,0.4498329162597656
sensor_0,deploy,15,0,0,0,0,2,2,0.000278472900390625,0.00014090538024902344,4.76837158203125e-07,0,0,0,0.43004417419433594,0.0,0.43004417419433594,0.4304640293121338
sensor_0,deploy,15,0,0,0,0,2,2,0.00041294097900390625,0.0001590251922607422,7.152557373046875e-07,0,0,0,0.40576672554016113,0.0,0.40576672554016113,0.4063394069671631
sensor_0,deploy,15,0,0,0,0,2,2,0.00038170814514160156,0.00016927719116210938,9.5367431640625e-07,0,0,0,0.3868441581726074,0.0,0.3868441581726074,0.38739609718322754
sensor_0,deploy,15,0,0,0,0,2,2,0.0004315376281738281,0.00017833709716796875,9.5367431640625e-07,0,0,0,0.3839602470397949,0.0,0.3839602470397949,0.3845710754394531
sensor_1,deploy,15,0,0,0,0,2,2,0.00030159950256347656,0.00014662742614746094,7.152557373046875e-07,0,0,0,0.705693244934082,0.0,0.705693244934082,0.7061421871185303
sensor_1,deploy,15,0,0,0,0,2,2,0.00031256675720214844,0.00015473365783691406,9.5367431640625e-07,0,0,0,0.427426815032959,0.0,0.427426815032959,0.42789506912231445
sensor_1,deploy,15,0,0,0,0,2,2,0.0003333091735839844,0.00015354156494140625,9.5367431640625e-07,0,0,0,0.38336873054504395,0.0,0.38336873054504395,0.38385653495788574
sensor_1,deploy,15,0,0,0,0,2,2,0.00037407875061035156,0.00016880035400390625,9.5367431640625e-07,0,0,0,0.39411449432373047,0.0,0.39411449432373047,0.39465832710266113
sensor_1,deploy,15,0,0,0,0,2,2,0.0004718303680419922,0.00015115737915039062,7.152557373046875e-07,0,0,0,0.4368748664855957,0.0,0.4368748664855957,0.4374985694885254
sensor_1,deploy,15,0,0,0,0,2,2,0.0003407001495361328,0.0001583099365234375,4.76837158203125e-07,0,0,0,0.39804792404174805,0.0,0.39804792404174805,0.3985474109649658
sensor_1,deploy,15,0,0,0,0,2,2,0.00037384033203125,0.00016021728515625,7.152557373046875e-07,0,0,0,0.38120031356811523,0.0,0.38120031356811523,0.38173508644104004
sensor_1,deploy,15,0,0,0,0,2,2,0.00038051605224609375,0.00014972686767578125,7.152557373046875e-07,0,0,0,0.37808656692504883,0.0,0.37808656692504883,0.378617525100708
sensor_1,deploy,15,0,0,0,0,2,2,0.000396728515625,0.00014734268188476562,9.5367431640625e-07,0,0,0,0.4344034194946289,0.0,0.4344034194946289,0.4349484443664551
sensor_1,deploy,15,0,0,0,0,2,2,0.0005230903625488281,0.00015544891357421875,9.5367431640625e-07,0,0,0,0.41202759742736816,0.0,0.41202759742736816,0.4127070903778076
sensor_3,deploy,15,0,0,0,0,2,2,0.0004086494445800781,0.00018477439880371094,9.5367431640625e-07,0,0,0,0.6623706817626953,0.0,0.6623706817626953,0.6629650592803955
sensor_3,deploy,15,0,0,0,0,2,2,0.0003247261047363281,0.00016188621520996094,4.76837158203125e-07,0,0,0,0.45627760887145996,0.0,0.45627760887145996,0.45676469802856445
sensor_3,deploy,15,0,0,0,0,2,2,0.00034165382385253906,0.00015592575073242188,7.152557373046875e-07,0,0,0,0.47032594680786133,0.0,0.47032594680786133,0.4708242416381836
sensor_3,deploy,15,0,0,0,0,2,2,0.0004546642303466797,0.00014734268188476562,7.152557373046875e-07,0,0,0,0.4523758888244629,0.0,0.4523758888244629,0.45297861099243164
sensor_3,deploy,15,0,0,0,0,2,2,0.0003020763397216797,0.0001552104949951172,7.152557373046875e-07,0,0,0,0.45190858840942383,0.0,0.45190858840942383,0.45236659049987793
sensor_3,deploy,15,0,0,0,0,2,2,0.0005214214324951172,0.00015115737915039062,7.152557373046875e-07,0,0,0,0.45084309577941895,0.0,0.45084309577941895,0.45151638984680176
sensor_3,deploy,15,0,0,0,0,2,2,0.0003581047058105469,0.0001766681671142578,9.5367431640625e-07,0,0,0,0.45704007148742676,0.0,0.45704007148742676,0.45757579803466797
sensor_3,deploy,15,0,0,0,0,2,2,0.0004215240478515625,0.00015974044799804688,7.152557373046875e-07,0,0,0,0.4536576271057129,0.0,0.4536576271057129,0.4542396068572998
sensor_3,deploy,15,0,0,0,0,2,2,0.0004863739013671875,0.0001475811004638672,9.5367431640625e-07,0,0,0,0.4688839912414551,0.0,0.4688839912414551,0.46951889991760254
sensor_3,deploy,15,0,0,0,0,2,2,0.0004639625549316406,0.00015282630920410156,7.152557373046875e-07,0,0,0,0.4600193500518799,0.0,0.4600193500518799,0.46063685417175293
sensor_4,deploy,15,0,0,0,0,2,2,0.0003712177276611328,0.00014734268188476562,7.152557373046875e-07,0,0,0,0.6773946285247803,0.0,0.6773946285247803,0.6779139041900635
sensor_4,deploy,15,0,0,0,0,2,2,0.00031113624572753906,0.0001804828643798828,1.3828277587890625e-05,0,0,0,0.45476293563842773,0.0,0.45476293563842773,0.45526838302612305
sensor_4,deploy,15,0,0,0,0,2,2,0.0003123283386230469,0.00016260147094726562,7.152557373046875e-07,0,0,0,0.46105146408081055,0.0,0.46105146408081055,0.46152710914611816
sensor_4,deploy,15,0,0,0,0,2,2,0.00032830238342285156,0.0001513957977294922,9.5367431640625e-07,0,0,0,0.44765663146972656,0.0,0.44765663146972656,0.4481372833251953
sensor_4,deploy,15,0,0,0,0,2,2,0.0004057884216308594,0.00015211105346679688,7.152557373046875e-07,0,0,0,0.40190935134887695,0.0,0.40190935134887695,0.4024679660797119
sensor_4,deploy,15,0,0,0,0,2,2,0.00040030479431152344,0.0001461505889892578,9.5367431640625e-07,0,0,0,0.373140811920166,0.0,0.373140811920166,0.3736882209777832
sensor_4,deploy,15,0,0,0,0,2,2,0.0003502368927001953,0.00014972686767578125,7.152557373046875e-07,0,0,0,0.37358617782592773,0.0,0.37358617782592773,0.374086856842041
sensor_4,deploy,15,0,0,0,0,2,2,0.00029969215393066406,0.00012874603271484375,9.5367431640625e-07,0,0,0,0.4387180805206299,0.0,0.4387180805206299,0.4391474723815918
sensor_4,deploy,15,0,0,0,0,2,2,0.0003523826599121094,0.0001595020294189453,7.152557373046875e-07,0,0,0,0.4524960517883301,0.0,0.4524960517883301,0.45300865173339844
sensor_4,deploy,15,0,0,0,0,2,2,0.0003516674041748047,0.00017642974853515625,1.1920928955078125e-06,0,0,0,0.4589107036590576,0.0,0.4589107036590576,0.4594399929046631
sensor_5,deploy,15,0,0,0,0,2,2,0.00042891502380371094,0.00011205673217773438,7.152557373046875e-07,0,0,0,0.6561408042907715,0.0,0.6561408042907715,0.6566824913024902
sensor_5,deploy,15,0,0,0,0,2,2,0.00031948089599609375,0.0001456737518310547,7.152557373046875e-07,0,0,0,0.4550299644470215,0.0,0.4550299644470215,0.45549583435058594
sensor_5,deploy,15,0,0,0,0,2,2,0.00043702125549316406,0.00014543533325195312,4.76837158203125e-07,0,0,0,0.44858264923095703,0.0,0.44858264923095703,0.44916558265686035
sensor_5,deploy,15,0,0,0,0,2,2,0.0003120899200439453,0.0001533031463623047,7.152557373046875e-07,0,0,0,0.4503159523010254,0.0,0.4503159523010254,0.45078206062316895
sensor_5,deploy,15,0,0,0,0,2,2,0.0003516674041748047,0.0001678466796875,7.152557373046875e-07,0,0,0,0.45189690589904785,0.0,0.45189690589904785,0.45241713523864746
sensor_5,deploy,15,0,0,0,0,2,2,0.0004265308380126953,0.00015282630920410156,9.5367431640625e-07,0,0,0,0.45073699951171875,0.0,0.45073699951171875,0.45131731033325195
sensor_5,deploy,15,0,0,0,0,2,2,0.0003285408020019531,0.00015091896057128906,4.76837158203125e-07,0,0,0,0.45403099060058594,0.0,0.45403099060058594,0.4545109272003174
sensor_5,deploy,15,0,0,0,0,2,2,0.0003287792205810547,0.0001494884490966797,7.152557373046875e-07,0,0,0,0.4519836902618408,0.0,0.4519836902618408,0.45246267318725586
sensor_5,deploy,15,0,0,0,0,2,2,0.0003142356872558594,0.0001468658447265625,7.152557373046875e-07,0,0,0,0.4453926086425781,0.0,0.4453926086425781,0.44585442543029785
sensor_5,deploy,15,0,0,0,0,2,2,0.0003211498260498047,0.0001537799835205078,9.5367431640625e-07,0,0,0,0.47188496589660645,0.0,0.47188496589660645,0.47236084938049316
sensor_6,deploy,15,0,0,0,0,2,2,0.0005297660827636719,0.0001575946807861328,9.5367431640625e-07,0,0,0,0.6313920021057129,0.0,0.6313920021057129,0.6320803165435791
sensor_6,deploy,15,0,0,0,0,2,2,0.00037980079650878906,0.00017595291137695312,7.152557373046875e-07,0,0,0,0.3864264488220215,0.0,0.3864264488220215,0.38698291778564453
sensor_6,deploy,15,0,0,0,0,2,2,0.0003554821014404297,0.00018358230590820312,7.152557373046875e-07,0,0,0,0.39147257804870605,0.0,0.39147257804870605,0.392012357711792
sensor_6,deploy,15,0,0,0,0,2,2,0.0004794597625732422,0.0001723766326904297,7.152557373046875e-07,0,0,0,0.4743919372558594,0.0,0.4743919372558594,0.47504448890686035
sensor_6,deploy,15,0,0,0,0,2,2,0.0003085136413574219,0.000156402587890625,4.76837158203125e-07,0,0,0,0.45590639114379883,0.0,0.45590639114379883,0.4563717842102051
sensor_6,deploy,15,0,0,0,0,2,2,0.0003077983856201172,0.000156402587890625,7.152557373046875e-07,0,0,0,0.43663692474365234,0.0,0.43663692474365234,0.4371018409729004
sensor_6,deploy,15,0,0,0,0,2,2,0.00029397010803222656,0.00014138221740722656,7.152557373046875e-07,0,0,0,0.4468498229980469,0.0,0.4468498229980469,0.44728589057922363
