node,operation,nlistener,out_local_msgs,in_local_msgs,out_remote_msgs,in_remote_msgs,inf_constraints,gen_instructions,setup_time,get_msg_time,sending_time,bhv_inf_time,constraint_inf_time,msg_inf_time,planning_time,latency,solving_time,total_time
database,deploy,10,0,0,0,0,1,1,0.0002567768096923828,1.9550323486328125e-05,7.152557373046875e-07,0,0,0,0.5044102668762207,0.0,0.5044102668762207,0.5046873092651367
database,deploy,10,0,0,0,0,1,1,0.0003535747528076172,2.2172927856445312e-05,7.152557373046875e-07,0,0,0,0.28799939155578613,0.0,0.28799939155578613,0.2883758544921875
database,deploy,10,0,0,0,0,1,1,0.00023889541625976562,2.1457672119140625e-05,4.76837158203125e-07,0,0,0,0.294064998626709,0.0,0.294064998626709,0.2943258285522461
database,deploy,10,0,0,0,0,1,1,0.0004105567932128906,3.504753112792969e-05,4.76837158203125e-07,0,0,0,0.2809579372406006,0.0,0.2809579372406006,0.2814040184020996
database,deploy,10,0,0,0,0,1,1,0.00034332275390625,2.0742416381835938e-05,4.76837158203125e-07,0,0,0,0.2782764434814453,0.0,0.2782764434814453,0.2786409854888916
database,deploy,10,0,0,0,0,1,1,0.00032782554626464844,3.218650817871094e-05,7.152557373046875e-07,0,0,0,0.2741243839263916,0.0,0.2741243839263916,0.27448511123657227
database,deploy,10,0,0,0,0,1,1,0.000255584716796875,2.9087066650390625e-05,4.76837158203125e-07,0,0,0,0.23789405822753906,0.0,0.23789405822753906,0.23817920684814453
database,deploy,10,0,0,0,0,1,1,0.0003829002380371094,3.0279159545898438e-05,7.152557373046875e-07,0,0,0,0.21623826026916504,0.0,0.21623826026916504,0.21665215492248535
database,deploy,10,0,0,0,0,1,1,0.0001862049102783203,2.0742416381835938e-05,4.76837158203125e-07,0,0,0,0.21387934684753418,0.0,0.21387934684753418,0.21408677101135254
database,deploy,10,0,0,0,0,1,1,0.00019025802612304688,2.1696090698242188e-05,9.5367431640625e-07,0,0,0,0.21097922325134277,0.0,0.21097922325134277,0.21119213104248047
system,deploy,10,0,0,0,0,1,1,0.00021767616271972656,3.361701965332031e-05,4.76837158203125e-07,0,0,0,0.4393959045410156,0.0,0.4393959045410156,0.4396476745605469
system,deploy,10,0,0,0,0,1,1,0.00029015541076660156,2.5510787963867188e-05,7.152557373046875e-07,0,0,0,0.27790236473083496,0.0,0.27790236473083496,0.27821874618530273
system,deploy,10,0,0,0,0,1,1,0.0003161430358886719,1.9073486328125e-05,4.76837158203125e-07,0,0,0,0.2589137554168701,0.0,0.2589137554168701,0.2592494487762451
system,deploy,10,0,0,0,0,1,1,0.00018930435180664062,1.7642974853515625e-05,7.152557373046875e-07,0,0,0,0.25983285903930664,0.0,0.25983285903930664,0.2600405216217041
system,deploy,10,0,0,0,0,1,1,0.00013828277587890625,2.2172927856445312e-05,4.76837158203125e-07,0,0,0,0.24593234062194824,0.0,0.24593234062194824,0.2460932731628418
system,deploy,10,0,0,0,0,1,1,0.00013947486877441406,1.6927719116210938e-05,4.76837158203125e-07,0,0,0,0.25908660888671875,0.0,0.25908660888671875,0.2592434883117676
system,deploy,10,0,0,0,0,1,1,0.00028252601623535156,1.621246337890625e-05,4.76837158203125e-07,0,0,0,0.25507140159606934,0.0,0.25507140159606934,0.2553706169128418
system,deploy,10,0,0,0,0,1,1,0.00028252601623535156,1.9311904907226562e-05,4.76837158203125e-07,0,0,0,0.2448747158050537,0.0,0.2448747158050537,0.2451770305633545
system,deploy,10,0,0,0,0,1,1,0.00015974044799804688,2.3126602172851562e-05,4.76837158203125e-07,0,0,0,0.2609226703643799,0.0,0.2609226703643799,0.261106014251709
system,deploy,10,0,0,0,0,1,1,0.00014352798461914062,1.7642974853515625e-05,7.152557373046875e-07,0,0,0,0.2542457580566406,0.0,0.2542457580566406,0.2544076442718506
sensor_0,deploy,10,0,0,0,0,2,2,0.0003094673156738281,0.00015926361083984375,7.152557373046875e-07,0,0,0,0.7238092422485352,0.0,0.7238092422485352,0.7242786884307861
sensor_0,deploy,10,0,0,0,0,2,2,0.00030350685119628906,0.00015592575073242188,4.76837158203125e-07,0,0,0,0.4628641605377197,0.0,0.4628641605377197,0.46332406997680664
sensor_0,deploy,10,0,0,0,0,2,2,0.0003840923309326172,0.0001518726348876953,9.5367431640625e-07,0,0,0,0.4564800262451172,0.0,0.4564800262451172,0.4570169448852539
sensor_0,deploy,10,0,0,0,0,2,2,0.00042057037353515625,0.00015997886657714844,7.152557373046875e-07,0,0,0,0.44804978370666504,0.0,0.44804978370666504,0.44863104820251465
sensor_0,deploy,10,0,0,0,0,2,2,0.0004284381866455078,0.0001513957977294922,7.152557373046875e-07,0,0,0,0.4488067626953125,0.0,0.4488067626953125,0.4493873119354248
sensor_0,deploy,10,0,0,0,0,2,2,0.0003032684326171875,0.00014925003051757812,7.152557373046875e-07,0,0,0,0.46619248390197754,0.0,0.46619248390197754,0.4666457176208496
sensor_0,deploy,10,0,0,0,0,2,2,0.0003597736358642578,0.0001804828643798828,9.5367431640625e-07,0,0,0,0.47588181495666504,0.0,0.47588181495666504,0.4764230251312256
sensor_0,deploy,10,0,0,0,0,2,2,0.0003097057342529297,0.00015783309936523438,7.152557373046875e-07,0,0,0,0.4604020118713379,0.0,0.4604020118713379,0.46087026596069336
sensor_0,deploy,10,0,0,0,0,2,2,0.00031876564025878906,0.00013709068298339844,9.5367431640625e-07,0,0,0,0.45650529861450195,0.0,0.45650529861450195,0.45696210861206055
sensor_0,deploy,10,0,0,0,0,2,2,0.0003383159637451172,0.000156402587890625,1.1920928955078125e-06,0,0,0,0.4462573528289795,0.0,0.4462573528289795,0.44675326347351074
