node,operation,nlistener,out_local_msgs,in_local_msgs,out_remote_msgs,in_remote_msgs,inf_constraints,gen_instructions,setup_time,get_msg_time,sending_time,bhv_inf_time,constraint_inf_time,msg_inf_time,planning_time,latency,solving_time,total_time
database,deploy,5,0,0,0,0,1,1,0.00023436546325683594,2.0742416381835938e-05,2.384185791015625e-07,0,0,0,0.42899179458618164,0.0,0.42899179458618164,0.4292471408843994
database,deploy,5,0,0,0,0,1,1,0.00018286705017089844,2.2172927856445312e-05,2.384185791015625e-07,0,0,0,0.27353596687316895,0.0,0.27353596687316895,0.2737412452697754
database,deploy,5,0,0,0,0,1,1,0.00027108192443847656,2.7179718017578125e-05,7.152557373046875e-07,0,0,0,0.26516056060791016,0.0,0.26516056060791016,0.2654595375061035
database,deploy,5,0,0,0,0,1,1,0.0001823902130126953,2.1219253540039062e-05,9.5367431640625e-07,0,0,0,0.2756056785583496,0.0,0.2756056785583496,0.27581024169921875
database,deploy,5,0,0,0,0,1,1,0.00016832351684570312,2.0503997802734375e-05,4.76837158203125e-07,0,0,0,0.2688908576965332,0.0,0.2688908576965332,0.26908016204833984
database,deploy,5,0,0,0,0,1,1,0.0003485679626464844,2.9325485229492188e-05,4.76837158203125e-07,0,0,0,0.2721245288848877,0.0,0.2721245288848877,0.2725028991699219
database,deploy,5,0,0,0,0,1,1,0.00033164024353027344,2.0742416381835938e-05,4.76837158203125e-07,0,0,0,0.279618501663208,0.0,0.279618501663208,0.2799713611602783
database,deploy,5,0,0,0,0,1,1,0.00023245811462402344,3.600120544433594e-05,4.76837158203125e-07,0,0,0,0.2817225456237793,0.0,0.2817225456237793,0.28199148178100586
database,deploy,5,0,0,0,0,1,1,0.0004029273986816406,3.0517578125e-05,4.76837158203125e-07,0,0,0,0.26915621757507324,0.0,0.26915621757507324,0.2695901393890381
database,deploy,5,0,0,0,0,1,1,0.00027823448181152344,1.8596649169921875e-05,7.152557373046875e-07,0,0,0,0.2556476593017578,0.0,0.2556476593017578,0.25594520568847656
sensor_0,deploy,5,0,0,0,0,2,2,0.00035643577575683594,0.00016880035400390625,9.5367431640625e-07,0,0,0,0.6578953266143799,0.0,0.6578953266143799,0.658421516418457
