node,operation,nlistener,out_local_msgs,in_local_msgs,out_remote_msgs,in_remote_msgs,inf_constraints,gen_instructions,setup_time,get_msg_time,sending_time,bhv_inf_time,constraint_inf_time,msg_inf_time,planning_time,latency,solving_time,total_time
database,update,15,0,0,1,0,2,3,0.00022411346435546875,2.2411770820617676,3.643993854522705,0.2732126712799072,0,8.797645568847656e-05,0.21039605140686035,0.0,0.4836087226867676,6.369091749191284
database,update,15,0,0,1,0,2,3,0.0003807544708251953,2.371903419494629,5.8298499584198,0.2808058261871338,0,9.679794311523438e-05,0.21155691146850586,0.0,0.49236273765563965,8.694593667984009
database,update,15,0,0,1,0,2,3,0.00027561187744140625,1.884629249572754,9.964044332504272,0.2661285400390625,0,8.916854858398438e-05,0.21057724952697754,0.0,0.47670578956604004,12.325744152069092
database,update,15,0,0,1,0,2,3,0.00017952919006347656,2.1874840259552,3.3892464637756348,0.26058030128479004,0,9.5367431640625e-05,0.2116832733154297,0.0,0.4722635746002197,6.049268960952759
database,update,15,0,0,1,0,2,3,0.00017261505126953125,2.7637126445770264,4.522696018218994,0.26530027389526367,0,0.00010371208190917969,0.21068382263183594,0.0,0.4759840965270996,7.762669086456299
database,update,15,0,0,1,0,2,3,0.00025534629821777344,2.9068424701690674,4.58706521987915,0.2575249671936035,0,9.655952453613281e-05,0.20904159545898438,0.0,0.4665665626525879,7.96082615852356
database,update,15,0,0,1,0,2,3,0.00037932395935058594,2.2486836910247803,5.129108428955078,0.2730438709259033,0,0.00010132789611816406,0.22177433967590332,0.0,0.49481821060180664,7.873090982437134
database,update,15,0,0,1,0,2,3,0.0002868175506591797,2.548849105834961,4.08829927444458,0.27743983268737793,0,9.465217590332031e-05,0.21579623222351074,0.0,0.49323606491088867,7.130765914916992
database,update,15,0,0,1,0,2,3,0.0003807544708251953,2.371903419494629,5.8298499584198,0.2808058261871338,0,9.679794311523438e-05,0.21155691146850586,0.0,0.49236273765563965,8.694593667984009
database,update,15,0,0,1,0,2,3,0.0003352165222167969,2.328500986099243,4.7820165157318115,0.28052425384521484,0,9.608268737792969e-05,0.21514534950256348,0.0,0.4956696033477783,7.606618404388428
system,update,15,0,0,15,1,1,3,0.00022530555725097656,0.7197611331939697,2.9842188358306885,0.25508546829223633,3.266334533691406e-05,0.0001461505889892578,0.19495820999145508,0.0,0.4500436782836914,4.154427766799927
system,update,15,0,0,15,1,1,3,0.00014829635620117188,0.7292368412017822,2.528644323348999,0.259108304977417,0.0001266002655029297,0.00013518333435058594,0.19563746452331543,0.0,0.4547457695007324,3.7130370140075684
system,update,15,0,0,15,1,1,3,0.0002238750457763672,0.6287715435028076,2.959782361984253,0.2466111183166504,3.0517578125e-05,0.00013399124145507812,0.1940455436706543,0.0,0.4406566619873047,4.029598951339722
system,update,15,0,0,15,1,1,3,0.0001361370086669922,0.7160475254058838,3.935326099395752,0.255903959274292,4.291534423828125e-05,0.0001404285430908203,0.20219659805297852,0.0,0.4581005573272705,5.109793663024902
system,update,15,0,0,15,1,1,3,0.00014019012451171875,0.5853176116943359,4.103273868560791,0.2502627372741699,3.24249267578125e-05,0.00014019012451171875,0.19466781616210938,0.0,0.4449305534362793,5.1338348388671875
system,update,15,0,0,15,1,1,3,0.0003058910369873047,0.6514902114868164,3.070401906967163,0.2616569995880127,3.123283386230469e-05,0.000152587890625,0.19708800315856934,0.0,0.45874500274658203,4.181126832962036
system,update,15,0,0,15,1,1,3,0.0001392364501953125,0.6716573238372803,3.5704007148742676,0.25611233711242676,3.075599670410156e-05,0.00016570091247558594,0.1940629482269287,0.0,0.45017528533935547,4.692569017410278
system,update,15,0,0,15,1,1,3,0.0002205371856689453,0.7185494899749756,3.1712145805358887,0.26046180725097656,2.8371810913085938e-05,0.00013017654418945312,0.20260167121887207,0.0,0.46306347846984863,4.353206634521484
system,update,15,0,0,15,1,1,3,0.0001316070556640625,0.6916656494140625,3.1083922386169434,0.24771904945373535,4.9114227294921875e-05,0.00013875961303710938,0.20005035400390625,0.0,0.4477694034576416,4.2481467723846436
system,update,15,0,0,15,1,1,3,0.0001442432403564453,0.5843005180358887,2.7411048412323,0.24776721000671387,4.0531158447265625e-05,0.00014257431030273438,0.19248294830322266,0.0,0.4402501583099365,3.7659828662872314
