node,operation,nworker,out_local_msgs,in_local_msgs,out_remote_msgs,in_remote_msgs,inf_constraints,gen_instructions,setup_time,get_msg_time,sending_time,bhv_inf_time,constraint_inf_time,msg_inf_time,planning_time,latency,solving_time,total_time
master,update,2,0,0,2,0,8,3,0.000563859939575195,1.0328061580658,6.31575202941895,0.507199287414551,0,0.000112771987915039,1.33363366127014,0,1.84083294868469,9.19006776809692
master,update,2,0,0,2,0,8,3,0.000724077224731445,0.668308734893799,3.31774401664734,0.26830005645752,0,0.000121116638183594,1.28769993782043,0,1.55599999427795,5.54289793968201
master,update,2,0,0,2,0,8,3,0.000530719757080078,1.31376695632935,1.08928203582764,0.28130841255188,0,0.000113487243652344,1.18177580833435,0,1.46308422088623,3.86677742004395
master,update,2,0,0,2,0,8,3,0.000542879104614258,1.20955276489258,0.708401203155518,0.20737624168396,0,0.000106334686279297,1.14935302734375,0,1.35672926902771,3.2753324508667
master,update,2,0,0,2,0,8,3,0.000528812408447266,1.17879843711853,1.06120347976685,0.258265733718872,0,0.000114202499389648,1.28721594810486,0,1.54548168182373,3.78612661361694
master,update,2,0,0,2,0,8,3,0.000670194625854492,1.74911737442017,0.786406755447388,0.238361597061157,0,0.000107049942016602,1.17359590530396,0,1.41195750236511,3.94825887680054
master,update,2,0,0,2,0,8,3,0.00066065788269043,1.13472747802734,0.4834144115448,0.241318225860596,0,0.000108480453491211,1.21256756782532,0,1.45388579368591,3.07279682159424
master,update,2,0,0,2,0,8,3,0.000610828399658203,1.46044731140137,0.759882926940918,0.266735315322876,0,0.0001068115234375,1.28296637535095,0,1.54970169067383,3.77074956893921
master,update,2,0,0,2,0,8,3,0.000614643096923828,0.954565286636353,1.2959475517273,0.277758359909058,0,0.000119686126708984,1.27974390983582,0,1.55750226974487,3.80874943733215
master,update,2,0,0,2,0,8,3,0.000580787658691406,1.04032397270203,0.935308218002319,0.275920867919922,0,0.000118255615234375,1.33612394332886,0,1.61204481124878,3.58837604522705
worker_0,update,2,3,3,5,1,9,11,0.000823497772216797,4.20527029037476,0.886479139328003,1.02083778381348,0.000171661376953125,0.00047755241394043,1.68972873687744,0,2.71056652069092,7.80378866195679
worker_0,update,2,3,3,5,1,9,11,0.000939130783081055,1.45681476593018,0.354929447174072,0.661946773529053,0.000191688537597656,0.000391483306884766,1.68728637695313,0,2.34923315048218,4.16249966621399
worker_0,update,2,3,3,5,1,9,11,0.000984907150268555,0.669357776641846,0.0947411060333252,0.637754917144775,0.000142097473144531,0.000372171401977539,1.55460023880005,0,2.19235515594482,2.95795321464539
worker_0,update,2,3,3,5,1,9,11,0.000870227813720703,0.0351030826568604,0.401345491409302,0.566206216812134,0.000141382217407227,0.000341653823852539,1.49870705604553,0,2.06491327285767,2.50271511077881
worker_0,update,2,3,3,5,1,9,11,0.00090336799621582,0.323605537414551,0.85756778717041,0.830754518508911,0.00014805793762207,0.000442981719970703,1.67272281646729,0,2.5034773349762,3.68614506721497
worker_0,update,2,3,3,5,1,9,11,0.000854253768920898,1.08681011199951,0.233676195144653,0.66423773765564,0.000131368637084961,0.00034332275390625,1.67700052261353,0,2.34123826026916,3.66305351257324
worker_0,update,2,3,3,5,1,9,11,0.00105619430541992,0.139071464538574,0.495096445083618,0.694899559020996,0.000185728073120117,0.00036311149597168,1.68355751037598,0,2.37845706939697,3.01423001289368
worker_0,update,2,3,3,5,1,9,11,0.00088953971862793,0.0355722904205322,1.33827447891235,0.669602155685425,0.000135183334350586,0.000332117080688477,1.69019174575806,0,2.35979390144348,3.73499751091003
worker_0,update,2,3,3,5,1,9,11,0.00084996223449707,0.765480279922485,0.317524909973145,0.67424201965332,0.000113248825073242,0.000339031219482422,1.71206736564636,0,2.38630938529968,3.47061681747437
worker_0,update,2,3,3,5,1,9,11,0.000849008560180664,0.514796257019043,0.281075716018677,0.701955556869507,0.000140905380249023,0.000391960144042969,1.70105338096619,0,2.40300893783569,3.20026278495789
neutron_0,update,2,0,0,0,2,1,4,0.00022578239440918,3.867995262146,0.366726875305176,0.613913059234619,0.000138044357299805,0.00027775764465332,0.21046781539917,0,0.824380874633789,5.05974459648132
neutron_0,update,2,0,0,0,2,1,4,0.000211715698242187,1.34785318374634,0.131662845611572,0.456085681915283,0.000134706497192383,0.000218629837036133,0.199671983718872,0,0.655757665634155,2.13583874702454
