node,operation,nworker,out_local_msgs,in_local_msgs,out_remote_msgs,in_remote_msgs,inf_constraints,gen_instructions,setup_time,get_msg_time,sending_time,bhv_inf_time,constraint_inf_time,msg_inf_time,planning_time,latency,solving_time,total_time
master,update,1,0,0,1,0,8,3,0.00063776969909668,1.22075247764587,0.248470067977905,0.45753288269043,0,0.000117063522338867,1.30602121353149,0,1.76355409622192,3.23353147506714
master,update,1,0,0,1,0,8,3,0.000720977783203125,0.866157293319702,0.314425468444824,0.264961242675781,0,0.000124454498291016,1.27492141723633,0,1.53988265991211,2.72131085395813
master,update,1,0,0,1,0,8,3,0.000525712966918945,0.705895662307739,1.04606223106384,0.273884296417236,0,0.000114202499389648,1.30740880966187,0,1.5812931060791,3.33389091491699
master,update,1,0,0,1,0,8,3,0.000589847564697266,1.06317353248596,0.25571870803833,0.278875827789307,0,0.000113248825073242,1.29143142700195,0,1.57030725479126,2.88990259170532
master,update,1,0,0,1,0,8,3,0.000664472579956055,1.9132559299469,0.377432346343994,0.270432472229004,0,0.000109434127807617,1.30296778678894,0,1.57340025901794,3.8648624420166
master,update,1,0,0,1,0,8,3,0.000555515289306641,0.955461740493774,0.843053579330444,0.261532068252563,0,0.000113248825073242,1.28613805770874,0,1.5476701259613,3.3468542098999
master,update,1,0,0,1,0,8,3,0.000693321228027344,0.785348415374756,0.475625276565552,0.271836519241333,0,0.000106334686279297,1.27025151252747,0,1.5420880317688,2.80386137962341
master,update,1,0,0,1,0,8,3,0.000545263290405273,1.13098978996277,1.3728199005127,0.269875764846802,0,0.000120162963867188,1.28765845298767,0,1.55753421783447,4.06200933456421
master,update,1,0,0,1,0,8,3,0.000563383102416992,1.00959348678589,1.1389422416687,0.267825365066528,0,0.000110626220703125,1.27796936035156,0,1.54579472541809,3.6950044631958
master,update,1,0,0,1,0,8,3,0.000490665435791016,1.21112680435181,0.847768068313599,0.259574413299561,0,0.000111579895019531,1.29012799263,0,1.54970240592957,3.60919952392578
worker_0,update,1,3,3,5,1,9,11,0.000995159149169922,0.0343093872070312,0.281337261199951,1.12139225006104,0.000168800354003906,0.000510215759277344,1.67295241355896,0,2.79434466362,3.11166548728943
worker_0,update,1,3,3,5,1,9,11,0.000965356826782227,0.035243034362793,0.254211187362671,0.785681247711182,0.000177383422851563,0.000490427017211914,1.54917860031128,0,2.33485984802246,2.62594723701477
worker_0,update,1,3,3,5,1,9,11,0.000993013381958008,0.64471435546875,0.431121110916138,0.565406560897827,0.000221967697143555,0.000372648239135742,1.54074120521545,0,2.10614776611328,3.18357086181641
worker_0,update,1,3,3,5,1,9,11,0.000866413116455078,0.0492150783538818,0.285709142684937,0.756335020065308,0.000175952911376953,0.000494956970214844,1.53731966018677,0,2.29365468025208,2.63011622428894
worker_0,update,1,3,3,5,1,9,11,0.000873804092407227,0.0324621200561523,1.41980957984924,0.855441093444824,0.000186681747436523,0.000476837158203125,1.67503976821899,0,2.53048086166382,3.98428988456726
worker_0,update,1,3,3,5,1,9,11,0.000939130783081055,0.585535526275635,0.537899494171143,0.853037357330322,0.000207424163818359,0.000454902648925781,1.7310004234314,0,2.58403778076172,3.70907425880432
worker_0,update,1,3,3,5,1,9,11,0.00083470344543457,0.0806121826171875,0.062253475189209,0.682575464248657,0.000126361846923828,0.000370264053344727,1.69058895111084,0,2.3731644153595,2.5173614025116
worker_0,update,1,3,3,5,1,9,11,0.000954389572143555,0.0304069519042969,0.626836061477661,0.684844255447388,0.000201702117919922,0.000372648239135742,1.68437814712524,0,2.36922240257263,3.02799415588379
worker_0,update,1,3,3,5,1,9,11,0.000856399536132813,0.727516889572144,0.569631099700928,0.925638198852539,0.00020289421081543,0.000447511672973633,1.69024276733398,0,2.61588096618652,3.91453576087952
