node,operation,nworker,out_local_msgs,in_local_msgs,out_remote_msgs,in_remote_msgs,inf_constraints,gen_instructions,setup_time,get_msg_time,sending_time,bhv_inf_time,constraint_inf_time,msg_inf_time,planning_time,latency,solving_time,total_time
master,deploy,2,0,0,0,0,7,7,0.000643730163574219,5.55515289306641E-05,9.5367431640625E-07,0,0,0,1.54366683959961,0,1.54366683959961,1.54436707496643
master,deploy,2,0,0,0,0,7,7,0.000683784484863281,5.03063201904297E-05,1.43051147460938E-06,0,0,0,1.38038992881775,0,1.38038992881775,1.38112545013428
master,deploy,2,0,0,0,0,7,7,0.0005950927734375,4.69684600830078E-05,1.9073486328125E-06,0,0,0,1.3062903881073,0,1.3062903881073,1.30693435668945
master,deploy,2,0,0,0,0,7,7,0.000850200653076172,6.38961791992187E-05,1.66893005371094E-06,0,0,0,1.34288549423218,0,1.34288549423218,1.34380125999451
master,deploy,2,0,0,0,0,7,7,0.000565767288208008,4.64916229248047E-05,1.43051147460938E-06,0,0,0,1.34759926795959,0,1.34759926795959,1.3482129573822
master,deploy,2,0,0,0,0,7,7,0.000741481781005859,4.79221343994141E-05,1.9073486328125E-06,0,0,0,1.30104446411133,0,1.30104446411133,1.30183577537537
master,deploy,2,0,0,0,0,7,7,0.000774145126342773,4.69684600830078E-05,1.43051147460938E-06,0,0,0,1.19691491127014,0,1.19691491127014,1.19773745536804
master,deploy,2,0,0,0,0,7,7,0.000768423080444336,4.93526458740234E-05,1.9073486328125E-06,0,0,0,1.17124199867249,0,1.17124199867249,1.17206168174744
master,deploy,2,0,0,0,0,7,7,0.000762939453125,5.98430633544922E-05,1.66893005371094E-06,0,0,0,1.36910843849182,0,1.36910843849182,1.36993288993835
master,deploy,2,0,0,0,0,7,7,0.000773906707763672,4.74452972412109E-05,1.66893005371094E-06,0,0,0,1.32885122299194,0,1.32885122299194,1.329674243927
worker_0,deploy,2,0,0,0,0,9,9,0.000898122787475586,8.22544097900391E-05,2.14576721191406E-06,0,0,0,1.93438601493835,0,1.93438601493835,1.93536853790283
worker_0,deploy,2,0,0,0,0,9,9,0.000955104827880859,7.89165496826172E-05,2.38418579101562E-06,0,0,0,1.8487012386322,0,1.8487012386322,1.84973764419556
worker_0,deploy,2,0,0,0,0,9,9,0.000977516174316406,7.39097595214844E-05,3.09944152832031E-06,0,0,0,1.71508049964905,0,1.71508049964905,1.71613502502441
worker_0,deploy,2,0,0,0,0,9,9,0.000834465026855469,6.89029693603516E-05,1.9073486328125E-06,0,0,0,1.74432706832886,0,1.74432706832886,1.74523234367371
worker_0,deploy,2,0,0,0,0,9,9,0.000876426696777344,7.43865966796875E-05,2.38418579101562E-06,0,0,0,1.71595978736877,0,1.71595978736877,1.71691298484802
worker_0,deploy,2,0,0,0,0,9,9,0.00101089477539063,7.12871551513672E-05,2.14576721191406E-06,0,0,0,1.74044632911682,0,1.74044632911682,1.74153065681458
worker_0,deploy,2,0,0,0,0,9,9,0.000975370407104492,7.31945037841797E-05,2.38418579101562E-06,0,0,0,1.70121073722839,0,1.70121073722839,1.70226168632507
worker_0,deploy,2,0,0,0,0,9,9,0.000855684280395508,7.74860382080078E-05,2.14576721191406E-06,0,0,0,1.81001830101013,0,1.81001830101013,1.81095361709595
worker_0,deploy,2,0,0,0,0,9,9,0.000995635986328125,8.13007354736328E-05,1.66893005371094E-06,0,0,0,1.7413182258606,0,1.7413182258606,1.74239683151245
worker_0,deploy,2,0,0,0,0,9,9,0.000868082046508789,0.0000762939453125,1.9073486328125E-06,0,0,0,1.79014205932617,0,1.79014205932617,1.79108834266663
neutron_0,deploy,2,0,0,0,0,1,1,0.000243425369262695,3.07559967041016E-05,4.76837158203125E-07,0,0,0,0.447566986083984,0,0.447566986083984,0.447841644287109
neutron_0,deploy,2,0,0,0,0,1,1,0.000179052352905273,2.21729278564453E-05,9.5367431640625E-07,0,0,0,0.287611246109009,0,0.287611246109009,0.287813425064087
